id,title,release_date,genres,original_language,original_title,imdb_id,vote_count,revenue,runtime,adult,budget,popularity,release_year,log_budget,log_gross,gross_to_budget_ratio,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
550,Fight Club,1999-10-15,Drama,en,Fight Club,tt0137523,27238,100853753,139,False,63000000,69.498,1999,17.958645300228824,18.42918204527112,1.6008532222222223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.438
680,Pulp Fiction,1994-09-10,Thriller|Crime,en,Pulp Fiction,tt0110912,25893,213900000,154,False,8500000,74.862,1994,15.955576839107596,19.181019178727716,25.16470588235294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.488
13,Forrest Gump,1994-06-23,Comedy|Drama|Romance,en,Forrest Gump,tt0109830,25409,677387716,142,False,55000000,92.693,1994,17.822843761378564,20.333754365617857,12.316140290909091,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.477
671,Harry Potter and the Philosopher's Stone,2001-11-16,Adventure|Fantasy,en,Harry Potter and the Philosopher's Stone,tt0241527,25379,976475550,152,False,125000000,185.482,2001,18.643824303266577,20.699460270589174,7.8118044,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.916
278,The Shawshank Redemption,1994-09-23,Drama|Crime,en,The Shawshank Redemption,tt0111161,24649,28341469,142,False,25000000,122.61,1994,17.034386422832473,17.1598366610298,1.13365876,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.702
603,The Matrix,1999-03-30,Action|Science Fiction,en,The Matrix,tt0133093,23815,463517383,136,False,63000000,78.564,1999,17.958645300228824,19.95435444819997,7.357418777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.206
597,Titanic,1997-11-18,Drama|Romance,en,Titanic,tt0120338,23637,2264162353,194,False,200000000,102.348,1997,19.11382792951231,21.54047070584697,11.320811765,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.9
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,Adventure|Fantasy|Action,en,The Lord of the Rings: The Fellowship of the Ring,tt0120737,23323,871368364,179,False,93000000,87.037,2001,18.34811006187022,20.585575367339324,9.369552301075268,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.402
807,Se7en,1995-09-22,Crime|Mystery|Thriller,en,Se7en,tt0114369,19403,327311859,127,False,33000000,53.521,1995,17.312018149733785,19.606423974684137,9.918541181818181,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.368
11,Star Wars,1977-05-25,Adventure|Action|Science Fiction,en,Star Wars,tt0076759,19155,775398007,121,False,11000000,88.559,1977,16.213405921671733,20.468887014201155,70.49072790909091,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.204
238,The Godfather,1972-03-14,Drama|Crime,en,The Godfather,tt0068646,18677,245066411,175,False,6000000,158.448,1972,15.607270193858982,19.31703980116409,40.844401833333336,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.707
105,Back to the Future,1985-07-03,Adventure|Comedy|Science Fiction,en,Back to the Future,tt0088763,18442,381109762,116,False,19000000,62.543,1985,16.759949589762293,19.758597983464,20.05840852631579,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.314
585,"Monsters, Inc.",2001-11-01,Animation|Comedy|Family,en,"Monsters, Inc.",tt0198781,17189,579707738,92,False,115000000,86.936,2001,18.560442695023177,20.178034636229476,5.040936852173913,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.835
862,Toy Story,1995-10-30,Animation|Adventure|Family|Comedy,en,Toy Story,tt0114709,17152,394400000,81,False,30000000,78.404,1995,17.216707972959764,19.792876183228252,13.146666666666667,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.971
8587,The Lion King,1994-06-24,Family|Animation|Drama,en,The Lion King,tt0110357,16991,763455561,89,False,45000000,87.384,1994,17.622173069956816,20.45336547791666,16.96567913333333,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.256
