id,title,release_date,genres,original_language,original_title,imdb_id,vote_count,revenue,runtime,adult,budget,popularity,release_year,log_budget,log_gross,gross_to_budget_ratio,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
185,A Clockwork Orange,1971-12-19,Science Fiction|Drama,en,A Clockwork Orange,tt0066921,11946,26589000,137,False,2200000,38.323,1971,14.603968372873895,17.09600819199818,12.085909090909091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.2
62,2001: A Space Odyssey,1968-04-02,Science Fiction|Mystery|Adventure,en,2001: A Space Odyssey,tt0062622,10575,71923560,149,False,12000000,48.932,1968,16.300417291085605,18.091114460250058,5.99363,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.076
539,Psycho,1960-06-22,Horror|Drama|Thriller,en,Psycho,tt0054215,9272,32000000,109,False,806947,51.373,1960,13.601014508992591,17.281246492014,39.65564033325609,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,8.437
429,"The Good, the Bad and the Ugly",1966-12-23,Western,it,"Il buono, il brutto, il cattivo",tt0060196,7751,38900000,161,False,1200000,81.717,1966,13.997832948091215,17.476504834295614,32.416666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.473
389,12 Angry Men,1957-04-10,Drama,en,12 Angry Men,tt0050083,7658,1000000,97,False,350000,51.201,1957,12.765691290604371,13.815511557963774,2.857142857142857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.54
408,Snow White and the Seven Dwarfs,1937-12-21,Fantasy|Animation|Family,en,Snow White and the Seven Dwarfs,tt0029583,6840,184925486,83,False,1488423,53.193,1937,14.213228400022265,19.035463528934805,124.24256142239135,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.116
11224,Cinderella,1950-02-22,Family|Fantasy|Animation|Romance,en,Cinderella,tt0042332,6239,263591415,74,False,2900000,85.42,1950,14.88022163978423,19.38991079557074,90.89359137931035,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,7.037
567,Rear Window,1954-08-01,Thriller|Mystery,en,Rear Window,tt0047396,5893,37034514,112,False,1000000,27.612,1954,13.815511557963774,17.427360873623513,37.034514,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.359
12230,One Hundred and One Dalmatians,1961-01-25,Adventure|Animation|Comedy|Family,en,One Hundred and One Dalmatians,tt0055254,5812,85000000,82,False,4000000,38.721,1961,15.201805169084134,18.258161826219297,21.25,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.162
9325,The Jungle Book,1967-10-18,Family|Animation|Adventure,en,The Jungle Book,tt0061852,5809,205843612,78,False,4000000,55.91,1967,15.201805169084134,19.142627278251656,51.460903,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.276
12092,Alice in Wonderland,1951-07-28,Animation|Family|Fantasy|Adventure,en,Alice in Wonderland,tt0043274,5459,57200000,75,False,3000000,54.201,1951,14.914123179965662,17.862064473832543,19.066666666666666,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.185
10895,Pinocchio,1940-02-23,Animation|Family,en,Pinocchio,tt0032910,5440,84300000,88,False,2600000,34.383,1940,14.77102238760702,18.24989243483448,32.42307692307692,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.102
