id,title,release_date,genres,original_language,original_title,imdb_id,vote_count,revenue,runtime,adult,budget,popularity,release_year,log_budget,log_gross,gross_to_budget_ratio,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
408,Snow White and the Seven Dwarfs,1937-12-21,Fantasy|Animation|Family,en,Snow White and the Seven Dwarfs,tt0029583,6840,184925486,83,False,1488423,53.193,1937,14.213228400022265,19.035463528934805,124.24256142239135,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.116
10895,Pinocchio,1940-02-23,Animation|Family,en,Pinocchio,tt0032910,5440,84300000,88,False,2600000,34.383,1940,14.77102238760702,18.24989243483448,32.42307692307692,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.102
3170,Bambi,1942-08-14,Animation|Drama|Family,en,Bambi,tt0034492,5236,267447150,70,False,858000,43.491,1942,13.662360543970586,19.40443253842639,311.709965034965,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0
630,The Wizard of Oz,1939-08-15,Adventure|Fantasy|Family,en,The Wizard of Oz,tt0032138,5112,33754967,102,False,2777000,44.236,1939,14.8368821263897,17.334638164449956,12.15519157364062,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.571
15,Citizen Kane,1941-04-17,Mystery|Drama,en,Citizen Kane,tt0033467,5034,23218000,119,False,839727,28.218,1941,13.640833308858063,16.96043844095015,27.649462265712547,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8.015
289,Casablanca,1943-01-15,Drama|Romance,en,Casablanca,tt0034583,4928,10462500,102,False,878000,25.177,1943,13.68540301156877,16.163308089359315,11.916287015945331,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.171
11360,Dumbo,1941-10-31,Animation|Family,en,Dumbo,tt0033563,4591,1600000,64,False,812000,60.157,1941,13.60725685067015,14.285514812209815,1.9704433497536946,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.995
770,Gone with the Wind,1939-12-15,Drama|War|Romance,en,Gone with the Wind,tt0031381,3691,402352579,238,False,4000000,46.849,1939,15.201805169084134,19.812839326863433,100.58814475,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7.965
3082,Modern Times,1936-02-05,Comedy|Drama,en,Modern Times,tt0027977,3394,1800000,87,False,1500000,19.539,1936,14.220976332738882,14.403297778421795,1.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.293
914,The Great Dictator,1940-10-15,Comedy|War,en,The Great Dictator,tt0032553,3037,11000000,125,False,2000000,20.506,1940,14.508658238524095,16.213405921671733,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.332
