id,title,release_date,genres,original_language,original_title,imdb_id,vote_count,revenue,runtime,adult,budget,popularity,release_year,log_budget,log_gross,gross_to_budget_ratio,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,vote_average
775,A Trip to the Moon,1902-04-17,Adventure|Science Fiction,fr,Le Voyage dans la Lune,tt0000417,1580,0,15,False,5985,17.886,1902,8.697178688412643,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9
5698,The Great Train Robbery,1903-12-07,Crime|Action|Western,en,The Great Train Robbery,tt0000439,547,0,12,False,150,10.511,1903,5.017279836814924,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
2963,The Impossible Voyage,1904-10-01,Adventure|Comedy|Fantasy|Science Fiction,fr,Le voyage à travers l'impossible,tt0000499,166,0,20,False,7500,7.402,1904,8.922791623969637,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.256
94643,Rescued by Rover,1905-07-03,Drama,en,Rescued by Rover,tt0000498,37,0,7,False,37,1.696,1905,3.6375861597263857,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.216
751212,The Musician Monkey,1878-05-07,Animation,xx,Le Singe Musicien,tt12592084,21,0,1,False,153,1.031,1878,5.0369526024136295,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.048
62935,"His Majesty, the Scarecrow of Oz",1914-10-14,Comedy|Family|Fantasy|Adventure,en,"His Majesty, the Scarecrow of Oz",tt0004099,20,0,59,False,23,2.733,1914,3.1780538303479458,0.0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.3
132394,The Adventures of Dollie,1908-07-14,Drama|Thriller,en,The Adventures of Dollie,tt0000628,19,0,12,False,1000,1.056,1908,6.90875477931522,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.2
113260,Ben Hur,1907-12-07,Adventure|Drama|History,en,Ben Hur,tt0000582,19,0,15,False,500,1.863,1907,6.2166061010848646,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.7
96128,Traffic in Souls,1913-11-24,Crime|Drama,en,Traffic in Souls,tt0003471,17,1800000,88,False,5700,1.252,1913,8.648396877031582,14.403297778421795,315.7894736842105,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.5
46758,The Life and Death of King Richard III,1912-10-15,Drama|History|Adventure,en,The Life and Death of King Richard III,tt0002461,7,0,55,False,30000,1.708,1912,10.308985993422082,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4.7
33208,The Photo-Drama of Creation,1914-01-11,Documentary,en,The Photo-Drama of Creation,tt0162536,3,0,480,False,300000,1.801,1914,12.611541086966115,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7
427238,Lancers Under the Earl of Airlie Fording the Modder River,1900-11-22,,en,Lancers Under the Earl of Airlie Fording the Modder River,tt2388778,2,0,1,False,1,0.6,1900,0.6931471805599453,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
